flickr_id,mos
10008004183,4.06
10013374164,3.74
10016324794,2.96
10019485755,3.7
10027007645,3.8
10053703034,3.46
10102107193,2.18
10115791113,3.68
10116604143,3.08
10124821225,3.4
10127250986,2.3
10128248563,2.86
10132105415,1.64
10149337843,3.94
10178280003,1.7
10201521555,2.3
10208239954,3.12
10238939436,2.58
10244479353,4.14
10249998364,3.4
10270536464,3.42
10283826203,4.14
10314276135,3.22
10340094005,3.32
10403478556,3.68
10406095776,2.62
10408715786,3.253731343
10411421606,2.52
10417424703,1.88
10500520233,2.86
10521676086,2.88
10533906564,3.24
10541657773,3.74
10595581344,4.14
10602272313,3.1
10609570083,3.1
10625504535,2.1
10636855406,3.88
10650618913,1.7
10655599784,3.26
10657154643,3.58
10672253555,1.614785992
10691750555,2.84
10694139655,1.82
10716218856,2.06
10716551125,2.22
10785115855,2.46
10804894696,3.12
10837320963,3.7
10838546955,3
10838718774,3.04
10838934973,3.34
10864372176,3.14
10925288616,1.46
10931366544,3.64
11013388203,3.76
11057110163,2.78
11061444876,2.16
11082897705,3.3
11086166076,3.28
11095294653,1.86
11237101334,2.26
11359714186,2.4
11367153336,2.7
11383768246,3.92
11403577283,3.06
11425159465,2.68
11435365925,2.6
11465976586,3.94
11469243925,2.28
11535683914,3.94
11540616946,4.08
11617643563,3.4
11618284403,4.12
11635304003,1.74
11646665363,3.7
11673027224,3.32
11688667226,1.94
11803329033,3.56
11816978255,3.76
11864752706,3.9
11902527296,3.24
11907021903,2.16
11913590004,2.96
11920895013,3.42
11925275803,2.66
11944451643,3.16
11971608074,3.34
12020933633,3.36
12031712185,2.58
12032110574,2.64
12044525214,3
12088104156,3.6
12099271596,2.4
12101500915,3.88
12123666684,4
12143576166,3.44
12186470506,2.9
12255205254,3.96
12262452854,4.24
12274927193,2.98
12276570315,3.365217391
12277706754,3.5
12279842993,3.72
12330492194,3.26
12355531285,4.22
12378508014,4.035573123
12379836133,4.24
12382276334,3.586872587
12387439244,2.34
12412571563,3.5
